TimeCreated,id,Symbol,Name,Sector,Deleted,Info,TimeDeleted,TimeModified,Creator
019-12-30 19:30:30.083803,80,SX,Boston Scientific,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,81,HF,Brighthouse Financial Inc,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,82,MY,Bristol-Myers Squibb,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,83,VGO,Broadcom,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,84,F.B,Brown-Forman Corp.,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,85,HRW,C. H. Robinson Worldwide,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,86,A,"CA, Inc.",Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,87,OG,Cabot Oil & Gas,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,88,DNS,Cadence Design Systems,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,89,PB,Campbell Soup,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,90,OF,Capital One Financial,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,91,AH,Cardinal Health Inc.,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,92,MX,Carmax Inc,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,93,CL,Carnival Corp.,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,94,AT,Caterpillar Inc.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,95,BOE,Cboe Global Markets,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,96,BRE,CBRE Group,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,97,BS,CBS Corp.,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,98,ELG,Celgene Corp.,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,99,NC,Centene Corporation,Health Care,0,,,2019-12-30 19:30:30.107017,
